,state,account_length,area_code,international_plan,voice_mail_plan,number_vmail_messages,total_day_minutes,total_day_calls,total_day_charge,total_eve_minutes,total_eve_calls,total_eve_charge,total_night_minutes,total_night_calls,total_night_charge,total_intl_minutes,total_intl_calls,total_intl_charge,customer_service_calls,churn,customer_percentage_by_state,total_charge,total_calls,total_minutes,day_charge_per_call,eve_charge_per_call,night_charge_per_call,intl_charge_per_call,day_call_length_per_call,eve_call_length_per_call,night_call_length_per_call,intl_call_length_per_call,day_charge_per_min,eve_charge_per_min,night_charge_per_min,intl_charge_per_min,day_charge_percentage,eve_charge_percentage,night_charge_percentage,intl_charge_percentage
0,KS,128,415,0,1,25,265.1,110,45.07,197.4,99,16.78,244.7,91,11.01,10.0,3,2.7,1,0,0.016,76.0,303.0,717.0,0.41,0.169,0.121,0.9,2.41,1.994,2.689,3.333,0.17,0.085,0.045,0.27,0.593,0.221,0.145,0.036
1,OH,107,415,0,1,26,161.6,123,27.47,195.5,103,16.62,254.4,103,11.45,13.7,3,3.7,1,0,0.065,59.0,332.0,625.0,0.223,0.161,0.111,1.233,1.314,1.898,2.47,4.567,0.17,0.085,0.045,0.27,0.466,0.282,0.194,0.063
2,NJ,137,415,0,0,0,243.4,114,41.38,121.2,110,10.3,162.6,104,7.32,12.2,5,3.29,0,0,0.05,62.0,333.0,539.0,0.363,0.094,0.07,0.658,2.135,1.102,1.563,2.44,0.17,0.085,0.045,0.27,0.667,0.166,0.118,0.053
3,OH,84,408,1,0,0,299.4,71,50.9,61.9,88,5.26,196.9,89,8.86,6.6,7,1.78,2,0,0.065,67.0,255.0,565.0,0.717,0.06,0.1,0.254,4.217,0.703,2.212,0.943,0.17,0.085,0.045,0.27,0.76,0.079,0.132,0.027
4,OK,75,415,1,0,0,166.7,113,28.34,148.3,122,12.61,186.9,121,8.41,10.1,3,2.73,3,0,0.022,52.0,359.0,512.0,0.251,0.103,0.07,0.91,1.475,1.216,1.545,3.367,0.17,0.085,0.045,0.27,0.545,0.242,0.162,0.052
5,AL,118,510,1,0,0,223.4,98,37.98,220.6,101,18.75,203.9,118,9.18,6.3,6,1.7,0,0,0.028,68.0,323.0,654.0,0.388,0.186,0.078,0.283,2.28,2.184,1.728,1.05,0.17,0.085,0.045,0.27,0.559,0.276,0.135,0.025
6,MA,121,510,0,1,24,218.2,88,37.09,348.5,108,29.62,212.6,118,9.57,7.5,7,2.03,3,0,0.039,78.0,321.0,787.0,0.421,0.274,0.081,0.29,2.48,3.227,1.802,1.071,0.17,0.085,0.045,0.271,0.476,0.38,0.123,0.026
7,MO,147,415,1,0,0,157.0,79,26.69,103.1,94,8.76,211.8,96,9.53,7.1,6,1.92,0,0,0.034,47.0,275.0,479.0,0.338,0.093,0.099,0.32,1.987,1.097,2.206,1.183,0.17,0.085,0.045,0.27,0.568,0.186,0.203,0.041
8,LA,117,408,0,0,0,184.5,97,31.37,351.6,80,29.89,215.8,90,9.71,8.7,4,2.35,1,0,0.026,73.0,271.0,761.0,0.323,0.374,0.108,0.587,1.902,4.395,2.398,2.175,0.17,0.085,0.045,0.27,0.43,0.409,0.133,0.032
9,WV,141,415,1,1,37,258.6,84,43.96,222.0,111,18.87,326.4,97,14.69,11.2,5,3.02,0,0,0.01,81.0,297.0,818.0,0.523,0.17,0.151,0.604,3.079,2.0,3.365,2.24,0.17,0.085,0.045,0.27,0.543,0.233,0.181,0.037
10,IN,65,415,0,0,0,129.1,137,21.95,228.5,83,19.42,208.8,111,9.4,12.7,6,3.43,4,1,0.038,54.0,337.0,579.0,0.16,0.234,0.085,0.572,0.942,2.753,1.881,2.117,0.17,0.085,0.045,0.27,0.406,0.36,0.174,0.064
11,RI,74,415,0,0,0,187.7,127,31.91,163.4,148,13.89,196.0,94,8.82,9.1,5,2.46,0,0,0.006,57.0,374.0,556.0,0.251,0.094,0.094,0.492,1.478,1.104,2.085,1.82,0.17,0.085,0.045,0.27,0.56,0.244,0.155,0.043
12,IA,168,408,0,0,0,128.8,96,21.9,104.9,71,8.92,141.1,128,6.35,11.2,2,3.02,1,0,0.018,40.0,297.0,386.0,0.228,0.126,0.05,1.51,1.342,1.477,1.102,5.6,0.17,0.085,0.045,0.27,0.547,0.223,0.159,0.075
13,MT,95,510,0,0,0,156.6,88,26.62,247.6,75,21.05,192.3,115,8.65,12.3,5,3.32,3,0,0.006,60.0,283.0,609.0,0.302,0.281,0.075,0.664,1.78,3.301,1.672,2.46,0.17,0.085,0.045,0.27,0.444,0.351,0.144,0.055
14,IA,62,415,0,0,0,120.7,70,20.52,307.2,76,26.11,203.0,99,9.14,13.1,6,3.54,4,0,0.018,59.0,251.0,644.0,0.293,0.344,0.092,0.59,1.724,4.042,2.051,2.183,0.17,0.085,0.045,0.27,0.348,0.443,0.155,0.06
15,NY,161,415,0,0,0,332.9,67,56.59,317.8,97,27.01,160.6,128,7.23,5.4,9,1.46,4,1,0.109,92.0,301.0,817.0,0.845,0.278,0.056,0.162,4.969,3.276,1.255,0.6,0.17,0.085,0.045,0.27,0.615,0.294,0.079,0.016
16,ID,85,408,0,1,27,196.4,139,33.39,280.9,90,23.88,89.3,75,4.02,13.8,4,3.73,1,0,0.01,65.0,308.0,580.0,0.24,0.265,0.054,0.932,1.413,3.121,1.191,3.45,0.17,0.085,0.045,0.27,0.514,0.367,0.062,0.057
17,VT,93,510,0,0,0,190.7,114,32.42,218.2,111,18.55,129.6,121,5.83,8.1,3,2.19,3,0,0.004,59.0,349.0,547.0,0.284,0.167,0.048,0.73,1.673,1.966,1.071,2.7,0.17,0.085,0.045,0.27,0.549,0.314,0.099,0.037
18,VA,76,510,0,1,33,189.7,66,32.25,212.8,65,18.09,165.7,108,7.46,10.0,5,2.7,1,0,0.048,61.0,244.0,578.0,0.489,0.278,0.069,0.54,2.874,3.274,1.534,2.0,0.17,0.085,0.045,0.27,0.529,0.297,0.122,0.044
19,TX,73,415,0,0,0,224.4,90,38.15,159.5,88,13.56,192.8,74,8.68,13.0,2,3.51,1,0,0.163,64.0,254.0,590.0,0.424,0.154,0.117,1.755,2.493,1.812,2.605,6.5,0.17,0.085,0.045,0.27,0.596,0.212,0.136,0.055
20,FL,147,415,0,0,0,155.1,117,26.37,239.7,93,20.37,208.8,133,9.4,10.6,4,2.86,0,0,0.12,59.0,347.0,614.0,0.225,0.219,0.071,0.715,1.326,2.577,1.57,2.65,0.17,0.085,0.045,0.27,0.447,0.345,0.159,0.048
21,CO,77,408,0,0,0,62.4,89,10.61,169.9,121,14.44,209.6,64,9.43,5.7,6,1.54,5,1,0.032,36.0,280.0,448.0,0.119,0.119,0.147,0.257,0.701,1.404,3.275,0.95,0.17,0.085,0.045,0.27,0.295,0.401,0.262,0.043
22,AZ,130,415,0,0,0,183.0,112,31.11,72.9,99,6.2,181.8,78,8.18,9.5,19,2.57,0,0,0.041,48.0,308.0,447.0,0.278,0.063,0.105,0.135,1.634,0.736,2.331,0.5,0.17,0.085,0.045,0.271,0.648,0.129,0.17,0.054
23,SC,111,415,0,0,0,110.4,103,18.77,137.3,102,11.67,189.6,105,8.53,7.7,6,2.08,2,0,0.029,41.0,316.0,445.0,0.182,0.114,0.081,0.347,1.072,1.346,1.806,1.283,0.17,0.085,0.045,0.27,0.458,0.285,0.208,0.051
24,VA,132,510,0,0,0,81.1,86,13.79,245.2,72,20.84,237.0,115,10.67,10.3,2,2.78,0,0,0.048,48.0,275.0,574.0,0.16,0.289,0.093,1.39,0.943,3.406,2.061,5.15,0.17,0.085,0.045,0.27,0.287,0.434,0.222,0.058
25,NE,174,415,0,0,0,124.3,76,21.13,277.1,112,23.55,250.7,115,11.28,15.5,5,4.19,3,0,0.011,60.0,308.0,668.0,0.278,0.21,0.098,0.838,1.636,2.474,2.18,3.1,0.17,0.085,0.045,0.27,0.352,0.392,0.188,0.07
26,WY,57,408,0,1,39,213.0,115,36.21,191.1,112,16.24,182.7,115,8.22,9.5,3,2.57,0,0,0.003,63.0,345.0,596.0,0.315,0.145,0.071,0.857,1.852,1.706,1.589,3.167,0.17,0.085,0.045,0.271,0.575,0.258,0.13,0.041
27,MT,54,408,0,0,0,134.3,73,22.83,155.5,100,13.22,102.1,68,4.59,14.7,4,3.97,3,0,0.006,45.0,245.0,407.0,0.313,0.132,0.067,0.992,1.84,1.555,1.501,3.675,0.17,0.085,0.045,0.27,0.507,0.294,0.102,0.088
28,MO,20,415,0,0,0,190.0,109,32.3,258.2,84,21.95,181.5,102,8.17,6.3,6,1.7,0,0,0.034,64.0,301.0,636.0,0.296,0.261,0.08,0.283,1.743,3.074,1.779,1.05,0.17,0.085,0.045,0.27,0.505,0.343,0.128,0.027
29,HI,49,510,0,0,0,119.3,117,20.28,215.1,109,18.28,178.7,90,8.04,11.1,1,3.0,1,0,0.008,50.0,317.0,524.0,0.173,0.168,0.089,3.0,1.02,1.973,1.986,11.1,0.17,0.085,0.045,0.27,0.406,0.366,0.161,0.06
30,IL,142,415,0,0,0,84.8,95,14.42,136.7,63,11.62,250.5,148,11.27,14.2,6,3.83,2,0,0.072,41.0,312.0,486.0,0.152,0.184,0.076,0.638,0.893,2.17,1.693,2.367,0.17,0.085,0.045,0.27,0.352,0.283,0.275,0.093
31,NH,75,510,0,0,0,226.1,105,38.44,201.5,107,17.13,246.2,98,11.08,10.3,5,2.78,1,0,0.008,69.0,315.0,684.0,0.366,0.16,0.113,0.556,2.153,1.883,2.512,2.06,0.17,0.085,0.045,0.27,0.557,0.248,0.161,0.04
32,LA,172,408,0,0,0,212.0,121,36.04,31.2,115,2.65,293.3,78,13.2,12.6,10,3.4,3,0,0.026,55.0,324.0,549.0,0.298,0.023,0.169,0.34,1.752,0.271,3.76,1.26,0.17,0.085,0.045,0.27,0.655,0.048,0.24,0.062
33,AZ,12,408,0,0,0,249.6,118,42.43,252.4,119,21.45,280.2,90,12.61,11.8,3,3.19,1,1,0.041,80.0,330.0,794.0,0.36,0.18,0.14,1.063,2.115,2.121,3.113,3.933,0.17,0.085,0.045,0.27,0.53,0.268,0.158,0.04
34,OK,57,408,0,1,25,176.8,94,30.06,195.0,75,16.58,213.5,116,9.61,8.3,4,2.24,0,0,0.022,58.0,289.0,594.0,0.32,0.221,0.083,0.56,1.881,2.6,1.841,2.075,0.17,0.085,0.045,0.27,0.518,0.286,0.166,0.039
35,GA,72,415,0,1,37,220.0,80,37.4,217.3,102,18.47,152.8,71,6.88,14.7,6,3.97,3,0,0.06,67.0,259.0,605.0,0.467,0.181,0.097,0.662,2.75,2.13,2.152,2.45,0.17,0.085,0.045,0.27,0.558,0.276,0.103,0.059
36,AK,36,408,0,1,30,146.3,128,24.87,162.5,80,13.81,129.3,109,5.82,14.5,6,3.92,0,0,0.004,48.0,323.0,453.0,0.194,0.173,0.053,0.653,1.143,2.031,1.186,2.417,0.17,0.085,0.045,0.27,0.518,0.288,0.121,0.082
37,MA,78,415,0,0,0,130.8,64,22.24,223.7,116,19.01,227.8,108,10.25,10.0,5,2.7,1,0,0.039,54.0,293.0,592.0,0.347,0.164,0.095,0.54,2.044,1.928,2.109,2.0,0.17,0.085,0.045,0.27,0.412,0.352,0.19,0.05
38,AK,136,415,1,1,33,203.9,106,34.66,187.6,99,15.95,101.7,107,4.58,10.5,6,2.84,3,0,0.004,58.0,318.0,504.0,0.327,0.161,0.043,0.473,1.924,1.895,0.95,1.75,0.17,0.085,0.045,0.27,0.598,0.275,0.079,0.049
